#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 9.134e-03 6.034e-03 3.096e-03 2.304e-07 3.408e-06 9.500e-07 2.318e-12 1.515e-08 1.043e-08 1.955e-08 6.371e-09 1.188e-08 0.000e+00 0.000e+00 3.456e-08 0.000e+00 3.688e-09 0.000e+00 0.000e+00 1.565e-09 2.933e-09 9.557e-10 1.782e-09
 5.012e+06 2.305e-02 1.332e-02 6.318e-03 4.241e-04 6.217e-06 2.513e-03 1.223e-07 2.159e-04 8.539e-05 1.080e-04 3.769e-05 1.464e-05 0.000e+00 0.000e+00 6.362e-05 0.000e+00 2.111e-05 0.000e+00 0.000e+00 1.281e-05 1.620e-05 5.654e-06 2.196e-06
 6.310e+06 4.429e-02 2.048e-02 1.026e-02 1.698e-03 1.936e-05 9.936e-03 7.838e-07 9.306e-04 3.293e-04 4.219e-04 1.464e-04 6.348e-05 0.000e+00 0.000e+00 2.547e-04 0.000e+00 8.225e-05 0.000e+00 0.000e+00 4.940e-05 6.328e-05 2.196e-05 9.522e-06
 7.943e+06 6.417e-02 2.757e-02 1.499e-02 2.696e-03 4.988e-05 1.568e-02 1.819e-06 1.675e-03 4.913e-04 6.608e-04 2.260e-04 1.231e-04 0.000e+00 0.000e+00 4.045e-04 0.000e+00 1.272e-04 0.000e+00 0.000e+00 7.370e-05 9.913e-05 3.390e-05 1.846e-05
 1.000e+07 8.237e-02 3.464e-02 2.066e-02 3.393e-03 8.204e-05 1.959e-02 2.286e-06 2.058e-03 5.792e-04 8.643e-04 3.022e-04 1.940e-04 0.000e+00 0.000e+00 5.090e-04 0.000e+00 1.620e-04 0.000e+00 0.000e+00 8.687e-05 1.296e-04 4.533e-05 2.910e-05
 1.259e+07 9.910e-02 4.140e-02 2.657e-02 3.974e-03 1.476e-04 2.241e-02 2.806e-06 2.210e-03 6.237e-04 1.076e-03 4.075e-04 2.861e-04 0.000e+00 0.000e+00 5.961e-04 0.000e+00 1.963e-04 0.000e+00 0.000e+00 9.355e-05 1.614e-04 6.113e-05 4.292e-05
