#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 1.496e-02 7.578e-03 7.131e-03 1.280e-04 4.339e-05 3.790e-05 2.001e-09 1.389e-05 5.567e-06 5.840e-06 2.620e-06 9.605e-06 0.000e+00 0.000e+00 1.920e-05 0.000e+00 1.658e-06 0.000e+00 0.000e+00 8.350e-07 8.760e-07 3.930e-07 1.441e-06
 5.012e+06 3.125e-02 1.547e-02 1.383e-02 3.967e-04 8.251e-05 1.078e-03 8.105e-09 2.311e-04 4.899e-05 5.452e-05 1.928e-05 3.328e-05 0.000e+00 0.000e+00 5.950e-05 0.000e+00 1.237e-05 0.000e+00 0.000e+00 7.348e-06 8.178e-06 2.892e-06 4.991e-06
 6.310e+06 5.379e-02 2.443e-02 2.250e-02 1.109e-03 1.178e-04 4.229e-03 2.029e-08 8.590e-04 1.695e-04 2.066e-04 6.974e-05 9.107e-05 0.000e+00 0.000e+00 1.664e-04 0.000e+00 4.352e-05 0.000e+00 0.000e+00 2.542e-05 3.099e-05 1.046e-05 1.366e-05
 7.943e+06 7.406e-02 3.317e-02 3.021e-02 1.744e-03 1.460e-04 6.578e-03 2.481e-08 1.313e-03 2.610e-04 3.604e-04 1.205e-04 1.588e-04 0.000e+00 0.000e+00 2.615e-04 0.000e+00 7.241e-05 0.000e+00 0.000e+00 3.915e-05 5.406e-05 1.808e-05 2.382e-05
 1.000e+07 9.279e-02 4.181e-02 3.710e-02 2.239e-03 1.694e-04 8.398e-03 2.763e-08 1.809e-03 3.714e-04 4.952e-04 1.623e-04 2.369e-04 0.000e+00 0.000e+00 3.358e-04 0.000e+00 1.013e-04 0.000e+00 0.000e+00 5.571e-05 7.428e-05 2.434e-05 3.553e-05
 1.259e+07 1.101e-01 5.026e-02 4.370e-02 2.610e-03 1.911e-04 9.584e-03 2.982e-08 2.170e-03 4.715e-04 6.220e-04 2.014e-04 3.247e-04 0.000e+00 0.000e+00 3.915e-04 0.000e+00 1.287e-04 0.000e+00 0.000e+00 7.072e-05 9.330e-05 3.021e-05 4.870e-05
