#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 4.926e-03 2.861e-03 2.047e-03 3.817e-06 5.460e-06 5.902e-06 1.045e-10 5.207e-07 5.257e-07 7.523e-07 3.046e-07 5.702e-07 0.000e+00 0.000e+00 5.725e-07 0.000e+00 1.635e-07 0.000e+00 0.000e+00 7.885e-08 1.128e-07 4.569e-08 8.552e-08
 5.012e+06 1.256e-02 6.494e-03 4.858e-03 1.677e-04 9.248e-06 8.017e-04 4.864e-10 1.474e-04 2.738e-05 3.533e-05 1.086e-05 1.119e-05 0.000e+00 0.000e+00 2.515e-05 0.000e+00 7.015e-06 0.000e+00 0.000e+00 4.107e-06 5.299e-06 1.629e-06 1.678e-06
 6.310e+06 3.359e-02 1.485e-02 1.288e-02 8.327e-04 1.686e-05 3.871e-03 1.655e-09 7.217e-04 1.313e-04 1.725e-04 5.216e-05 5.551e-05 0.000e+00 0.000e+00 1.249e-04 0.000e+00 3.399e-05 0.000e+00 0.000e+00 1.969e-05 2.587e-05 7.824e-06 8.327e-06
 7.943e+06 5.418e-02 2.370e-02 2.084e-02 1.480e-03 2.354e-05 6.200e-03 2.536e-09 1.218e-03 2.183e-04 2.979e-04 8.843e-05 1.122e-04 0.000e+00 0.000e+00 2.220e-04 0.000e+00 5.845e-05 0.000e+00 0.000e+00 3.275e-05 4.469e-05 1.326e-05 1.683e-05
 1.000e+07 7.330e-02 3.257e-02 2.784e-02 1.997e-03 2.829e-05 8.083e-03 3.184e-09 1.755e-03 3.187e-04 4.115e-04 1.212e-04 1.798e-04 0.000e+00 0.000e+00 2.995e-04 0.000e+00 8.343e-05 0.000e+00 0.000e+00 4.781e-05 6.172e-05 1.817e-05 2.698e-05
 1.259e+07 9.120e-02 4.137e-02 3.457e-02 2.389e-03 3.286e-05 9.338e-03 3.454e-09 2.146e-03 4.157e-04 5.256e-04 1.539e-04 2.587e-04 0.000e+00 0.000e+00 3.584e-04 0.000e+00 1.086e-04 0.000e+00 0.000e+00 6.235e-05 7.884e-05 2.309e-05 3.881e-05
