#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 1.503e-02 5.953e-03 8.470e-03 4.820e-04 2.318e-05 8.110e-05 1.654e-09 8.516e-06 1.897e-06 2.710e-06 1.106e-06 2.232e-06 0.000e+00 0.000e+00 7.231e-05 0.000e+00 5.976e-07 0.000e+00 0.000e+00 2.846e-07 4.064e-07 1.659e-07 3.349e-07
 5.012e+06 3.236e-02 1.298e-02 1.595e-02 1.209e-03 5.659e-05 1.787e-03 2.158e-08 1.974e-04 5.623e-05 7.526e-05 2.800e-05 1.595e-05 0.000e+00 0.000e+00 1.814e-04 0.000e+00 1.476e-05 0.000e+00 0.000e+00 8.434e-06 1.129e-05 4.200e-06 2.392e-06
 6.310e+06 5.360e-02 1.970e-02 2.191e-02 2.429e-03 1.039e-04 7.822e-03 3.432e-07 8.652e-04 2.425e-04 3.376e-04 1.261e-04 6.385e-05 0.000e+00 0.000e+00 3.643e-04 0.000e+00 6.497e-05 0.000e+00 0.000e+00 3.637e-05 5.063e-05 1.892e-05 9.577e-06
 7.943e+06 7.321e-02 2.615e-02 2.774e-02 3.350e-03 1.479e-04 1.305e-02 1.469e-06 1.481e-03 3.786e-04 5.756e-04 2.173e-04 1.236e-04 0.000e+00 0.000e+00 5.025e-04 0.000e+00 1.081e-04 0.000e+00 0.000e+00 5.680e-05 8.634e-05 3.260e-05 1.854e-05
 1.000e+07 9.141e-02 3.259e-02 3.361e-02 4.054e-03 2.161e-04 1.718e-02 2.050e-06 1.990e-03 4.903e-04 7.853e-04 2.963e-04 1.945e-04 0.000e+00 0.000e+00 6.081e-04 0.000e+00 1.460e-04 0.000e+00 0.000e+00 7.354e-05 1.178e-04 4.444e-05 2.918e-05
 1.259e+07 1.080e-01 3.877e-02 3.955e-02 4.627e-03 3.041e-04 2.022e-02 2.325e-06 2.191e-03 5.587e-04 1.046e-03 4.526e-04 2.809e-04 0.000e+00 0.000e+00 6.940e-04 0.000e+00 1.905e-04 0.000e+00 0.000e+00 8.381e-05 1.570e-04 6.789e-05 4.213e-05
