#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 1.172e-02 5.602e-03 5.786e-03 2.498e-04 1.902e-05 5.279e-05 5.910e-10 3.099e-06 6.807e-07 1.005e-06 4.041e-07 7.529e-07 0.000e+00 0.000e+00 3.747e-05 0.000e+00 2.157e-07 0.000e+00 0.000e+00 1.021e-07 1.507e-07 6.061e-08 1.129e-07
 5.012e+06 2.621e-02 1.248e-02 1.093e-02 7.451e-04 4.795e-05 1.655e-03 3.989e-08 1.910e-04 5.864e-05 6.696e-05 2.341e-05 1.178e-05 0.000e+00 0.000e+00 1.118e-04 0.000e+00 1.377e-05 0.000e+00 0.000e+00 8.796e-06 1.004e-05 3.512e-06 1.767e-06
 6.310e+06 4.689e-02 1.951e-02 1.572e-02 2.002e-03 8.095e-05 7.868e-03 2.731e-07 9.350e-04 2.777e-04 3.293e-04 1.152e-04 5.660e-05 0.000e+00 0.000e+00 3.003e-04 0.000e+00 6.661e-05 0.000e+00 0.000e+00 4.165e-05 4.939e-05 1.728e-05 8.490e-06
 7.943e+06 6.657e-02 2.644e-02 2.080e-02 3.066e-03 1.044e-04 1.323e-02 8.415e-07 1.618e-03 4.265e-04 5.720e-04 2.015e-04 1.139e-04 0.000e+00 0.000e+00 4.598e-04 0.000e+00 1.110e-04 0.000e+00 0.000e+00 6.397e-05 8.580e-05 3.023e-05 1.708e-05
 1.000e+07 8.465e-02 3.322e-02 2.608e-02 3.763e-03 1.420e-04 1.754e-02 1.307e-06 2.114e-03 5.406e-04 7.864e-04 2.869e-04 1.829e-04 0.000e+00 0.000e+00 5.644e-04 0.000e+00 1.499e-04 0.000e+00 0.000e+00 8.110e-05 1.180e-04 4.303e-05 2.743e-05
 1.259e+07 1.012e-01 3.969e-02 3.158e-02 4.218e-03 2.077e-04 2.074e-02 1.519e-06 2.336e-03 6.225e-04 1.045e-03 4.509e-04 2.682e-04 0.000e+00 0.000e+00 6.327e-04 0.000e+00 1.960e-04 0.000e+00 0.000e+00 9.337e-05 1.567e-04 6.764e-05 4.023e-05
