#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 4.903e-04 1.580e-04 3.172e-04 7.942e-06 3.360e-06 1.345e-06 9.100e-11 9.684e-07 3.381e-07 3.288e-07 1.526e-07 6.399e-07 0.000e+00 0.000e+00 1.191e-06 0.000e+00 1.004e-07 0.000e+00 0.000e+00 5.071e-08 4.932e-08 2.290e-08 9.598e-08
 2.512e+06 5.692e-03 1.841e-03 3.671e-03 9.637e-05 3.879e-05 1.655e-05 1.077e-09 1.140e-05 3.929e-06 3.818e-06 1.772e-06 7.423e-06 0.000e+00 0.000e+00 1.446e-05 0.000e+00 1.166e-06 0.000e+00 0.000e+00 5.893e-07 5.726e-07 2.658e-07 1.113e-06
 3.162e+06 1.321e-02 4.299e-03 8.473e-03 2.388e-04 8.913e-05 4.175e-05 2.616e-09 2.702e-05 9.129e-06 8.858e-06 4.111e-06 1.720e-05 0.000e+00 0.000e+00 3.582e-05 0.000e+00 2.705e-06 0.000e+00 0.000e+00 1.369e-06 1.329e-06 6.167e-07 2.580e-06
 3.981e+06 2.493e-02 8.181e-03 1.588e-02 4.853e-04 1.653e-04 8.453e-05 6.673e-09 5.258e-05 1.725e-05 1.670e-05 7.754e-06 3.244e-05 0.000e+00 0.000e+00 7.280e-05 0.000e+00 5.105e-06 0.000e+00 0.000e+00 2.588e-06 2.505e-06 1.163e-06 4.866e-06
 5.012e+06 4.985e-02 1.574e-02 2.872e-02 1.606e-03 3.004e-04 2.570e-03 1.639e-08 5.036e-04 1.240e-04 1.415e-04 5.718e-05 8.999e-05 0.000e+00 0.000e+00 2.409e-04 0.000e+00 3.248e-05 0.000e+00 0.000e+00 1.860e-05 2.122e-05 8.577e-06 1.350e-05
 6.310e+06 7.441e-02 2.258e-02 3.880e-02 3.147e-03 4.130e-04 7.066e-03 2.464e-08 1.381e-03 3.296e-04 3.701e-04 1.407e-04 1.773e-04 0.000e+00 0.000e+00 4.721e-04 0.000e+00 8.232e-05 0.000e+00 0.000e+00 4.944e-05 5.551e-05 2.111e-05 2.659e-05
 7.943e+06 9.438e-02 2.867e-02 4.669e-02 4.464e-03 5.061e-04 1.057e-02 4.703e-08 1.889e-03 4.694e-04 6.243e-04 2.336e-04 2.678e-04 0.000e+00 0.000e+00 6.697e-04 0.000e+00 1.287e-04 0.000e+00 0.000e+00 7.040e-05 9.365e-05 3.505e-05 4.017e-05
 1.000e+07 1.118e-01 3.470e-02 5.317e-02 5.542e-03 6.126e-04 1.348e-02 1.734e-07 2.104e-03 5.445e-04 8.811e-04 3.404e-04 3.828e-04 0.000e+00 0.000e+00 8.313e-04 0.000e+00 1.710e-04 0.000e+00 0.000e+00 8.168e-05 1.322e-04 5.106e-05 5.741e-05
 1.259e+07 1.270e-01 4.030e-02 5.872e-02 6.275e-03 6.981e-04 1.590e-02 4.292e-07 2.263e-03 6.010e-04 1.129e-03 4.564e-04 6.295e-04 0.000e+00 0.000e+00 9.413e-04 0.000e+00 2.171e-04 0.000e+00 0.000e+00 9.015e-05 1.694e-04 6.846e-05 9.443e-05
