#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 5.060e-04 1.532e-04 3.397e-04 6.072e-06 3.641e-06 9.369e-07 7.513e-11 8.947e-07 3.480e-07 3.393e-07 1.576e-07 6.592e-07 0.000e+00 0.000e+00 9.108e-07 0.000e+00 1.035e-07 0.000e+00 0.000e+00 5.220e-08 5.090e-08 2.364e-08 9.888e-08
 2.512e+06 5.884e-03 1.775e-03 3.954e-03 7.373e-05 4.202e-05 1.137e-05 9.186e-10 1.061e-05 4.050e-06 3.947e-06 1.834e-06 7.664e-06 0.000e+00 0.000e+00 1.106e-05 0.000e+00 1.204e-06 0.000e+00 0.000e+00 6.075e-07 5.920e-07 2.751e-07 1.150e-06
 3.162e+06 1.368e-02 4.105e-03 9.206e-03 1.834e-04 9.648e-05 2.823e-05 2.344e-09 2.543e-05 9.429e-06 9.178e-06 4.268e-06 1.782e-05 0.000e+00 0.000e+00 2.752e-05 0.000e+00 2.800e-06 0.000e+00 0.000e+00 1.414e-06 1.377e-06 6.401e-07 2.673e-06
 3.981e+06 2.575e-02 7.694e-03 1.730e-02 3.931e-04 1.776e-04 5.963e-05 6.341e-09 5.062e-05 1.776e-05 1.725e-05 8.026e-06 3.351e-05 0.000e+00 0.000e+00 5.896e-05 0.000e+00 5.269e-06 0.000e+00 0.000e+00 2.664e-06 2.588e-06 1.204e-06 5.026e-06
 5.012e+06 5.088e-02 1.467e-02 3.093e-02 1.502e-03 3.179e-04 2.551e-03 1.606e-08 4.945e-04 1.247e-04 1.433e-04 5.715e-05 9.134e-05 0.000e+00 0.000e+00 2.253e-04 0.000e+00 3.276e-05 0.000e+00 0.000e+00 1.870e-05 2.150e-05 8.573e-06 1.370e-05
 6.310e+06 7.542e-02 2.107e-02 4.141e-02 3.053e-03 4.357e-04 7.060e-03 2.448e-08 1.361e-03 3.338e-04 3.776e-04 1.408e-04 1.786e-04 0.000e+00 0.000e+00 4.579e-04 0.000e+00 8.344e-05 0.000e+00 0.000e+00 5.006e-05 5.665e-05 2.112e-05 2.679e-05
 7.943e+06 9.540e-02 2.683e-02 4.951e-02 4.385e-03 5.363e-04 1.063e-02 4.633e-08 1.898e-03 4.786e-04 6.321e-04 2.343e-04 2.692e-04 0.000e+00 0.000e+00 6.578e-04 0.000e+00 1.304e-04 0.000e+00 0.000e+00 7.179e-05 9.482e-05 3.514e-05 4.037e-05
 1.000e+07 1.127e-01 3.268e-02 5.598e-02 5.447e-03 6.612e-04 1.364e-02 1.609e-07 2.136e-03 5.565e-04 9.000e-04 3.465e-04 3.833e-04 0.000e+00 0.000e+00 8.171e-04 0.000e+00 1.742e-04 0.000e+00 0.000e+00 8.347e-05 1.350e-04 5.197e-05 5.749e-05
 1.259e+07 1.279e-01 3.810e-02 6.154e-02 6.212e-03 7.622e-04 1.610e-02 2.888e-07 2.316e-03 6.156e-04 1.188e-03 4.826e-04 6.208e-04 0.000e+00 0.000e+00 9.319e-04 0.000e+00 2.251e-04 0.000e+00 0.000e+00 9.234e-05 1.782e-04 7.239e-05 9.312e-05
