#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 2.016e-02 8.538e-03 1.089e-02 4.372e-04 1.081e-04 9.308e-05 5.680e-09 4.261e-05 1.410e-05 1.351e-05 6.278e-06 2.626e-05 0.000e+00 0.000e+00 6.558e-05 0.000e+00 4.144e-06 0.000e+00 0.000e+00 2.115e-06 2.026e-06 9.416e-07 3.938e-06
 5.012e+06 4.362e-02 1.838e-02 2.171e-02 1.031e-03 2.135e-04 1.617e-03 2.179e-08 3.708e-04 8.791e-05 9.123e-05 3.713e-05 7.335e-05 0.000e+00 0.000e+00 1.546e-04 0.000e+00 2.241e-05 0.000e+00 0.000e+00 1.319e-05 1.368e-05 5.570e-06 1.100e-05
 6.310e+06 6.703e-02 2.717e-02 3.048e-02 1.981e-03 2.911e-04 5.215e-03 4.345e-08 1.105e-03 2.455e-04 2.776e-04 1.083e-04 1.521e-04 0.000e+00 0.000e+00 2.972e-04 0.000e+00 6.260e-05 0.000e+00 0.000e+00 3.682e-05 4.165e-05 1.624e-05 2.282e-05
 7.943e+06 8.728e-02 3.527e-02 3.795e-02 2.793e-03 3.529e-04 7.949e-03 5.210e-08 1.715e-03 3.774e-04 4.561e-04 1.743e-04 2.376e-04 0.000e+00 0.000e+00 4.189e-04 0.000e+00 9.949e-05 0.000e+00 0.000e+00 5.661e-05 6.841e-05 2.614e-05 3.564e-05
 1.000e+07 1.054e-01 4.298e-02 4.483e-02 3.472e-03 4.065e-04 9.916e-03 8.100e-08 2.148e-03 4.920e-04 6.254e-04 2.360e-04 3.314e-04 0.000e+00 0.000e+00 5.207e-04 0.000e+00 1.339e-04 0.000e+00 0.000e+00 7.379e-05 9.381e-05 3.541e-05 4.970e-05
 1.259e+07 1.217e-01 5.033e-02 5.104e-02 3.969e-03 4.538e-04 1.137e-02 2.022e-07 2.395e-03 5.752e-04 7.796e-04 2.949e-04 4.639e-04 0.000e+00 0.000e+00 5.953e-04 0.000e+00 1.654e-04 0.000e+00 0.000e+00 8.627e-05 1.169e-04 4.424e-05 6.959e-05
