#------- -------
#Mass    log Age
#(Msun)  (year) 
#------- -------
   0.77  10.20
   0.82  10.10
   0.88  10.00
   0.94   9.90
   1.00   9.80
   1.07   9.70
   1.15   9.60
   1.25   9.50
   1.35   9.40
   1.46   9.30
   1.60   9.20
   1.79   9.10
   1.94   9.00
   2.11   8.90
   2.29   8.80
   2.50   8.70
   2.73   8.60
   3.00   8.50
   3.29   8.40
   3.63   8.30
   4.01   8.20
   4.45   8.10
   4.95   8.00
   5.53   7.90
   6.20   7.80
   7.00   7.70
   7.98   7.60
   9.15   7.50
  10.45   7.40
  12.12   7.30
  14.26   7.20
  17.01   7.10
  20.77   7.00
  26.05   6.90
  33.81   6.80
  46.20   6.70
  67.59   6.60
 116.06   6.50
