#------- -------
#Mass    log Age
#(Msun)  (year) 
#------- -------
   0.74  10.20
   0.79  10.10
   0.84  10.00
   0.90   9.90
   0.97   9.80
   1.04   9.70
   1.12   9.60
   1.20   9.50
   1.30   9.40
   1.41   9.30
   1.53   9.20
   1.68   9.10
   1.83   9.00
   1.98   8.90
   2.16   8.80
   2.35   8.70
   2.58   8.60
   2.83   8.50
   3.13   8.40
   3.46   8.30
   3.85   8.20
   4.28   8.10
   4.79   8.00
   5.35   7.90
   6.01   7.80
   6.79   7.70
   7.72   7.60
   8.81   7.50
  10.08   7.40
  11.70   7.30
  13.71   7.20
  16.33   7.10
  19.86   7.00
  24.84   6.90
  32.23   6.80
  44.11   6.70
  65.58   6.60
 112.02   6.50
