#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 2.048e-02 7.326e-03 1.233e-02 4.888e-04 1.306e-04 9.221e-05 5.450e-09 4.659e-05 1.426e-05 1.373e-05 6.395e-06 2.665e-05 0.000e+00 0.000e+00 7.332e-05 0.000e+00 4.205e-06 0.000e+00 0.000e+00 2.139e-06 2.059e-06 9.592e-07 3.998e-06
 5.012e+06 4.368e-02 1.523e-02 2.438e-02 1.400e-03 2.588e-04 1.747e-03 1.500e-08 3.594e-04 8.910e-05 9.888e-05 4.109e-05 7.322e-05 0.000e+00 0.000e+00 2.100e-04 0.000e+00 2.347e-05 0.000e+00 0.000e+00 1.337e-05 1.483e-05 6.163e-06 1.098e-05
 6.310e+06 6.711e-02 2.215e-02 3.384e-02 2.842e-03 3.630e-04 5.915e-03 2.273e-08 1.151e-03 2.706e-04 3.019e-04 1.191e-04 1.516e-04 0.000e+00 0.000e+00 4.263e-04 0.000e+00 6.795e-05 0.000e+00 0.000e+00 4.059e-05 4.529e-05 1.787e-05 2.274e-05
 7.943e+06 8.729e-02 2.841e-02 4.163e-02 4.130e-03 4.480e-04 9.507e-03 3.312e-08 1.767e-03 4.271e-04 5.331e-04 2.017e-04 2.366e-04 0.000e+00 0.000e+00 6.196e-04 0.000e+00 1.130e-04 0.000e+00 0.000e+00 6.407e-05 7.996e-05 3.025e-05 3.549e-05
 1.000e+07 1.047e-01 3.443e-02 4.821e-02 5.260e-03 5.320e-04 1.237e-02 1.109e-07 2.009e-03 5.117e-04 7.772e-04 2.979e-04 3.285e-04 0.000e+00 0.000e+00 7.890e-04 0.000e+00 1.534e-04 0.000e+00 0.000e+00 7.676e-05 1.166e-04 4.468e-05 4.928e-05
 1.259e+07 1.202e-01 4.018e-02 5.391e-02 6.082e-03 6.073e-04 1.483e-02 3.879e-07 2.151e-03 5.680e-04 9.929e-04 3.933e-04 5.193e-04 0.000e+00 0.000e+00 9.123e-04 0.000e+00 1.927e-04 0.000e+00 0.000e+00 8.520e-05 1.489e-04 5.899e-05 7.790e-05
