#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 2.123e-02 6.949e-03 1.356e-02 4.044e-04 1.416e-04 7.069e-05 5.105e-09 4.435e-05 1.469e-05 1.423e-05 6.605e-06 2.763e-05 0.000e+00 0.000e+00 6.066e-05 0.000e+00 4.348e-06 0.000e+00 0.000e+00 2.203e-06 2.134e-06 9.908e-07 4.144e-06
 5.012e+06 4.474e-02 1.430e-02 2.649e-02 1.296e-03 2.760e-04 1.721e-03 1.466e-08 3.551e-04 8.943e-05 1.005e-04 4.113e-05 7.462e-05 0.000e+00 0.000e+00 1.944e-04 0.000e+00 2.371e-05 0.000e+00 0.000e+00 1.341e-05 1.508e-05 6.169e-06 1.119e-05
 6.310e+06 6.815e-02 2.083e-02 3.629e-02 2.757e-03 3.846e-04 5.901e-03 2.247e-08 1.139e-03 2.725e-04 3.078e-04 1.189e-04 1.530e-04 0.000e+00 0.000e+00 4.135e-04 0.000e+00 6.868e-05 0.000e+00 0.000e+00 4.088e-05 4.617e-05 1.784e-05 2.295e-05
 7.943e+06 8.831e-02 2.673e-02 4.433e-02 4.062e-03 4.756e-04 9.529e-03 3.231e-08 1.772e-03 4.338e-04 5.403e-04 2.018e-04 2.380e-04 0.000e+00 0.000e+00 6.092e-04 0.000e+00 1.143e-04 0.000e+00 0.000e+00 6.507e-05 8.105e-05 3.027e-05 3.570e-05
 1.000e+07 1.057e-01 3.255e-02 5.095e-02 5.189e-03 5.746e-04 1.248e-02 1.124e-07 2.041e-03 5.213e-04 7.891e-04 3.005e-04 3.301e-04 0.000e+00 0.000e+00 7.784e-04 0.000e+00 1.556e-04 0.000e+00 0.000e+00 7.819e-05 1.184e-04 4.507e-05 4.952e-05
 1.259e+07 1.212e-01 3.815e-02 5.663e-02 6.025e-03 6.675e-04 1.500e-02 3.143e-07 2.202e-03 5.800e-04 1.033e-03 4.097e-04 5.159e-04 0.000e+00 0.000e+00 9.038e-04 0.000e+00 1.983e-04 0.000e+00 0.000e+00 8.700e-05 1.549e-04 6.146e-05 7.738e-05
