#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 1.513e-02 7.421e-03 7.382e-03 1.980e-04 4.489e-05 4.844e-05 2.103e-09 1.507e-05 5.577e-06 5.837e-06 2.627e-06 9.593e-06 0.000e+00 0.000e+00 2.970e-05 0.000e+00 1.658e-06 0.000e+00 0.000e+00 8.365e-07 8.755e-07 3.940e-07 1.439e-06
 5.012e+06 3.192e-02 1.528e-02 1.440e-02 5.461e-04 8.702e-05 1.204e-03 8.855e-09 2.316e-04 5.191e-05 5.998e-05 2.187e-05 3.328e-05 0.000e+00 0.000e+00 8.192e-05 0.000e+00 1.332e-05 0.000e+00 0.000e+00 7.786e-06 8.997e-06 3.280e-06 4.992e-06
 6.310e+06 5.439e-02 2.394e-02 2.283e-02 1.338e-03 1.256e-04 4.709e-03 2.708e-08 8.612e-04 1.818e-04 2.275e-04 7.991e-05 9.114e-05 0.000e+00 0.000e+00 2.006e-04 0.000e+00 4.728e-05 0.000e+00 0.000e+00 2.727e-05 3.412e-05 1.199e-05 1.367e-05
 7.943e+06 7.463e-02 3.237e-02 3.042e-02 2.020e-03 1.582e-04 7.368e-03 6.039e-08 1.330e-03 2.801e-04 3.904e-04 1.355e-04 1.589e-04 0.000e+00 0.000e+00 3.030e-04 0.000e+00 7.799e-05 0.000e+00 0.000e+00 4.202e-05 5.856e-05 2.032e-05 2.384e-05
 1.000e+07 9.324e-02 4.064e-02 3.722e-02 2.566e-03 1.930e-04 9.469e-03 1.135e-07 1.802e-03 3.879e-04 5.394e-04 1.837e-04 2.369e-04 0.000e+00 0.000e+00 3.848e-04 0.000e+00 1.083e-04 0.000e+00 0.000e+00 5.818e-05 8.091e-05 2.756e-05 3.553e-05
 1.259e+07 1.104e-01 4.871e-02 4.369e-02 2.988e-03 2.288e-04 1.093e-02 1.685e-07 2.131e-03 4.811e-04 6.785e-04 2.303e-04 3.289e-04 0.000e+00 0.000e+00 4.482e-04 0.000e+00 1.369e-04 0.000e+00 0.000e+00 7.216e-05 1.018e-04 3.455e-05 4.934e-05
