#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
# time     Mtot        p total  He total   C total   N total   O total   F total  Ne total  Mg total  Si total   S total  Fe total    p dust   He dust    C dust    N dust    O dust    F dust   Ne dust   Mg dust   Si dust    S dust   Fe dust
#--------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- ---------
 1.000e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.259e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.585e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 1.995e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 2.512e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.162e+06 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00
 3.981e+06 9.203e-03 5.965e-03 3.231e-03 3.423e-07 5.033e-06 1.375e-06 2.316e-12 1.855e-08 1.041e-08 2.010e-08 6.417e-09 1.196e-08 0.000e+00 0.000e+00 5.135e-08 0.000e+00 3.740e-09 0.000e+00 0.000e+00 1.562e-09 3.015e-09 9.626e-10 1.795e-09
 5.012e+06 2.352e-02 1.351e-02 6.573e-03 4.360e-04 8.926e-06 2.533e-03 1.619e-07 2.100e-04 8.735e-05 1.080e-04 3.769e-05 1.468e-05 0.000e+00 0.000e+00 6.540e-05 0.000e+00 2.130e-05 0.000e+00 0.000e+00 1.310e-05 1.620e-05 5.654e-06 2.202e-06
 6.310e+06 4.473e-02 2.066e-02 1.034e-02 1.746e-03 2.374e-05 1.007e-02 9.188e-07 9.153e-04 3.397e-04 4.250e-04 1.480e-04 6.369e-05 0.000e+00 0.000e+00 2.618e-04 0.000e+00 8.368e-05 0.000e+00 0.000e+00 5.096e-05 6.375e-05 2.221e-05 9.554e-06
 7.943e+06 6.451e-02 2.761e-02 1.470e-02 2.807e-03 4.550e-05 1.610e-02 2.028e-06 1.699e-03 5.150e-04 6.776e-04 2.337e-04 1.235e-04 0.000e+00 0.000e+00 4.211e-04 0.000e+00 1.315e-04 0.000e+00 0.000e+00 7.725e-05 1.016e-04 3.506e-05 1.852e-05
 1.000e+07 8.267e-02 3.449e-02 2.027e-02 3.574e-03 6.156e-05 2.015e-02 2.407e-06 2.117e-03 6.056e-04 8.957e-04 3.188e-04 1.952e-04 0.000e+00 0.000e+00 5.362e-04 0.000e+00 1.686e-04 0.000e+00 0.000e+00 9.084e-05 1.344e-04 4.782e-05 2.928e-05
 1.259e+07 9.939e-02 4.109e-02 2.630e-02 4.183e-03 1.388e-04 2.291e-02 2.516e-06 2.271e-03 6.491e-04 1.120e-03 4.280e-04 2.936e-04 0.000e+00 0.000e+00 6.275e-04 0.000e+00 2.044e-04 0.000e+00 0.000e+00 9.737e-05 1.680e-04 6.420e-05 4.404e-05
