#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-30T12:17:45 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d690f5ab2b6 
#INFO -out.max=unlimited 
#INFO queryParameters=24 
#-oc.form=sexa
#-out.max=unlimited
#-order=I
#-out.src=J/MNRAS/451/3693/table4a
#-nav=cat:J/MNRAS/451/3693&tab:{J/MNRAS/451/3693/table4a}&key:source=J/MNRAS/451/3693/table4a&HTTPPRM:&&-ref=VIZ5d690f5ab2b6&-out.max=unlimited&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=All&-ignore=All=*&All=All&-out=Z&-out=M*&-out=H&-out=D&-out=He3&-out=He4&-out=C12&-out=O16&-out=Ne20&-out=Mg24&-out=Si28&-out=S32&-out=Ca40&-out=Fe56&-out=Mrem&-out=C13s&-out=N14s&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/451/3693/table4a
#-source=J/MNRAS/451/3693/table4a
#-out=All
#-out=Z
#-out=M*
#-out=H
#-out=D
#-out=He3
#-out=He4
#-out=C12
#-out=O16
#-out=Ne20
#-out=Mg24
#-out=Si28
#-out=S32
#-out=Ca40
#-out=Fe56
#-out=Mrem
#-out=C13s
#-out=N14s
#

#RESOURCE=yCat_74513693
#Name: J/MNRAS/451/3693
#Title: Stellar yields and the initial mass function (Molla+, 2015)
#Table J_MNRAS_451_3693_table4a:
#Name: J/MNRAS/451/3693/table4a
#Title: Stellar yields from Woosley & Weaver (1995ApJS..101..181W) (WOW)
#---Details of Columns:
    All         (A3)    Display value for all models [ucd=meta.ref.url]
    Z           (F7.4)  Total metallicity of the stars when are created [ucd=phys.abund.Z]
    M* (Msun)   (F6.2)  Mass of the star [ucd=phys.mass]
    H           (E10.3) Yield of H [ucd=phys.composition.yield]
    D           (E10.3) Yield of D [ucd=phys.composition.yield]
    He3         (E10.3) Yield of ^3^He [ucd=phys.composition.yield]
    He4         (E10.3) Yield of ^4^He [ucd=phys.composition.yield]
    C12         (E10.3) Yield of ^12^C [ucd=phys.composition.yield]
    O16         (E10.3) Yield of ^16^O [ucd=phys.composition.yield]
    Ne20        (E10.3) Yield of ^20^Ne [ucd=phys.composition.yield]
    Mg24        (E10.3) Yield of ^24^Mg [ucd=phys.composition.yield]
    Si28        (E10.3) Yield of ^28^Si [ucd=phys.composition.yield]
    S32         (E10.3) Yield of ^32^S [ucd=phys.composition.yield]
    Ca40        (E10.3) Yield of ^40^Ca [ucd=phys.composition.yield]
    Fe56        (E10.3) Yield of ^56^Fe [ucd=phys.composition.yield]
    Mrem (Msun) (E8.1)  Mass of remmant [ucd=phys.mass]
    C13s        (E10.3) Yield of ^13^C secondary [ucd=phys.composition.yield]
    N14s        (E10.3) Yield of ^14^N secondary [ucd=phys.composition.yield]
--- ------- ------ ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- -------- ---------- ----------
            M*                                                                                                                                         Mre                           
All Z       (Msun) H          D          He3        He4        C12        O16        Ne20       Mg24       Si28       S32        Ca40       Fe56       m (Msun) C13s       N14s      
--- ------- ------ ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- -------- ---------- ----------
All  0.0000  11.00 -1.160e-01 -4.190e-05 -2.410e-05  1.240e-01  1.600e-03  0.000e+00  0.000e+00  0.000e+00  1.460e-03  2.490e-04  0.000e+00  2.860e-07  1.4e+00  1.460e-05  1.810e-07
All  0.0000  12.00 -1.380e-01 -4.280e-05 -2.490e-05  1.190e-01  3.580e-03  5.560e-03  2.130e-04  3.200e-04  2.080e-03  7.100e-04  1.180e-04  2.380e-07  1.3e+00  6.970e-06  1.820e-07
All  0.0000  13.00 -1.580e-01 -4.360e-05 -2.560e-05  1.150e-01  5.260e-03  1.050e-02  2.340e-03  1.150e-03  2.590e-03  1.100e-03  2.320e-04  1.980e-07  1.2e+00  4.810e-07  1.820e-07
All  0.0000  15.00 -1.700e-01 -4.350e-05 -2.560e-05  1.020e-01  9.670e-03  2.670e-02  6.190e-03  2.230e-03  4.540e-03  1.720e-03  2.790e-04  2.870e-07  1.4e+00  6.590e-07  2.420e-07
All  0.0000  18.00 -1.230e-01 -3.920e-05 -1.890e-05  1.140e-01  6.110e-03  1.670e-03  1.620e-02  3.280e-03  6.110e-03  3.420e-03  7.000e-04  5.530e-07  3.3e+00  8.940e-07  3.770e-07
All  0.0000  19.00 -1.230e-01 -3.880e-05 -2.100e-05  1.160e-01  8.000e-03  2.680e-02  1.880e-02  3.550e-03  6.470e-03  3.860e-03  8.050e-04  6.210e-07  3.7e+00  9.580e-07  4.130e-07
All  0.0000  20.00 -1.240e-01 -3.840e-05 -2.280e-05  1.180e-01  9.850e-03  4.020e-02  2.120e-02  3.800e-03  6.850e-03  4.260e-03  9.050e-04  6.850e-07  4.0e+00  1.020e-06  4.440e-07
All  0.0000  22.00 -2.410e-01 -4.490e-05 -2.680e-05  9.090e-02  1.260e-02  8.410e-02  2.530e-02  4.230e-03  7.500e-03  4.950e-03  1.080e-03  7.950e-07  1.4e+00  1.110e-06  5.000e-07
All  0.0000  25.00 -2.420e-01 -4.450e-05 -2.660e-05  8.300e-02  1.690e-02  9.320e-02  2.040e-02  3.700e-03  9.240e-03  4.240e-03  7.000e-04  4.760e-07  1.8e+00  1.590e-06  8.320e-06
All  0.0000  30.00 -2.910e-01 -4.580e-05 -2.740e-05  7.400e-02  1.160e-02  1.450e-01  3.470e-02  8.170e-03  4.100e-03  1.520e-03  5.830e-04  1.600e-07  1.4e+00  3.770e-06  1.180e-04
All  0.0000  35.00 -3.070e-01 -4.570e-05 -2.740e-05  6.730e-02  1.150e-02  1.590e-01  3.490e-02  6.710e-03  5.970e-03  2.560e-03  5.000e-04  5.710e-07  1.7e+00  7.310e-07  2.190e-07
All  0.0000  40.00 -3.390e-01 -4.580e-05 -2.750e-05  6.350e-02  1.200e-02  1.810e-01  3.950e-02  5.680e-03  8.550e-08  4.050e-04  7.700e-04  1.610e-07  1.8e+00  4.100e-07  1.700e-07
